zb_url,zb_zbmc,zb_yxlx,zb_fjmc,zb_gkrs
https://www.douyu.com/3052173,丰与大果果,主机游戏,「果叔」中土世界之兽人养成计划,2177
https://www.douyu.com/1309106,东京光良,主机游戏,死一个档 抽一个游侠 最高难度,2163
https://www.douyu.com/wanzijj,丸子丶丢了小樱桃,主机游戏,❤丸子❤萌新妹纸刚入手【幽灵行动：荒野】,2155
https://www.douyu.com/535561,不会玩666,魔兽争霸,真三。真三。真三。。真三。。。,1430
https://www.douyu.com/1674544,地狱龙影,魔兽争霸,日常掉线战就战主播,1279
https://www.douyu.com/3106129,澄海丶花心,魔兽争霸,澄海丶花心的直播间,1278
https://www.douyu.com/1144103,疯魔老大,魔兽争霸,广西南宁站，带病开播！,1258
https://www.douyu.com/1016260,不洗脚的星仔,英雄联盟,国服顶级瑞兹show最强教学,6430
https://www.douyu.com/1133460,TK丶小老虎,英雄联盟,［老虎］洛1000法强撞死5个,6286
https://www.douyu.com/1891313,我就是蘑菇阿i,英雄联盟,蘑菇小姐姐：研究新版寡妇,5885
https://www.douyu.com/xiaotianyo,我是爱笑的小天哟,绝地求生,天儿闪闪发光bingbing~办卡上车,1.9万
https://www.douyu.com/618452,放视频的阳阳,绝地求生,美服求生爆笑集锦,1.8万
https://www.douyu.com/zouan,走黯,绝地求生,[ZA]你们的杀神回来了,1.7万
https://www.douyu.com/2309003,阿沫熙霖,主机游戏,阿沫的中土世界2现场！,2114
https://www.douyu.com/xi666666,kiki瓜,主机游戏,潜行女王/求关注/免费看直播哦~,2018
https://www.douyu.com/546621,主播猪大,主机游戏,恐怖游戏全系列直播   娱乐 搞笑！,1779
https://www.douyu.com/417766,Wo东哥,魔兽争霸,绿色循环圈2.3正式版,1249
https://www.douyu.com/3105540,新忍村散华,魔兽争霸,【新忍村】DS专场,1197
https://www.douyu.com/fs54,非神54,魔兽争霸,丛林肉搏【新版】,1162
https://www.douyu.com/1690716,淮南擎天柱丶,英雄联盟,斗鱼唯一【王者赵信】,5770
https://www.douyu.com/wxrsup,雪傲娇丶,英雄联盟,【Day 15】不多说了峡谷辅助冲王者,4918
https://www.douyu.com/2117638,长沙小仙女,英雄联盟,第一女亚索，先上个青铜玩玩~,4714
https://www.douyu.com/796449,要你叫我随便,绝地求生,吃鸡都是小kiss,1.7万
https://www.douyu.com/1307963,丶喵晚安,绝地求生,妹纸这么菜还直播，关注了！,1.6万
https://www.douyu.com/apaqi,DNF阿帕奇,绝地求生,PAQI：吃鸡教学 20杀吃鸡,1.6万
https://www.douyu.com/587595,主播英勇,主机游戏,"双1080Ti,可算是回归一战了！",1737
https://www.douyu.com/984086,HitmanCodename47,主机游戏,(47)中土世界!开波箱！,1705
https://www.douyu.com/106539,优酱不是咸鱼,主机游戏,今天还是很非酋,1589
https://www.douyu.com/302604,鸽王螺蛳,魔兽争霸,【鹅螺蛳】新版肉搏-老年事故车,1158
https://www.douyu.com/276017,无敌尛光頭,魔兽争霸,imba  是的好久不见,932
https://www.douyu.com/899798,天天OB丶,英雄联盟,天天OB：北美第一盲僧/亚索/劫,4383
https://www.douyu.com/wutongxiyu,LUX梧桐细雨,英雄联盟,第一光辉梧桐：峡谷之巅逐梦,4270
https://www.douyu.com/1707513,lol丶流峰峰,英雄联盟,国服第一大眼！细节上分教学 秀秀秀,4261
https://www.douyu.com/2362253,杨宝宝OuO,绝地求生,Y: 甜蜜双排吗 老子风女贼强,1.5万
https://www.douyu.com/2353159,单手解bras,绝地求生,你们的单手小姐姐♬♬♬,1.5万
https://www.douyu.com/1165475,克洛伊一,绝地求生,牙套伊一：吃鸡 ( 5/8 ),1.5万
https://www.douyu.com/490715,有情饮乃饱,主机游戏,【奶饱】星辉娱乐进军英超,1396
https://www.douyu.com/shenglin,笙霖,主机游戏,【笙林】飞车杀人党，,1181
https://www.douyu.com/501761,白白的胖胖呀,主机游戏,马里奥制造⭐️奶爸胖⭐️,1165
https://www.douyu.com/2318666,福建K99丶,魔兽争霸,真三 K99未必不能一打5,849
https://www.douyu.com/537916,Elsdon丶看淡,魔兽争霸,网易匹配排位~11横扫,826
https://www.douyu.com/1055363,漂亮很漂亮,魔兽争霸,丛林肉搏 人生不如意 需坚强,737
https://www.douyu.com/893046,萌萌哒羊妹,英雄联盟,羊妹：不喜欢冬天T T,4080
https://www.douyu.com/1801338,南宁小伙LEO扎男,英雄联盟,斗鱼第一扎克 大师王者局,3910
https://www.douyu.com/600290,浪灯丶,英雄联盟,暴击流新版赵信（真.2枪一个小朋友）,3291
https://www.douyu.com/zixingche,叫我车总吧,我的世界,【自行车】脑子是第一生产力,1286
https://www.douyu.com/1893673,看清了就看轻了灬,绝地求生,看清：我是斗鱼第二          菜,1.4万
https://www.douyu.com/1150664,奇领丶小呆,绝地求生,吃鸡教萌新带水友萌新办卡永久上车,1.4万
https://www.douyu.com/413926,三百斤的胖Ty,绝地求生,【Ty】AKM的使用者,1.4万
https://www.douyu.com/BANDAI,ACG咸鱼,主机游戏,肥宅的日常游戏时光,1149
https://www.douyu.com/1820556,糰筱姿,主机游戏,小哥哥脑壳痛,1033
https://www.douyu.com/1541865,牧之ing,主机游戏,中土世界2：竞技场强强对决,1011
https://www.douyu.com/215113,Joshua丶床单,魔兽争霸,imba床单 你的深夜电台,618
https://www.douyu.com/1154959,肉搏都是哥的传说,魔兽争霸,宠物小精灵吼,590
https://www.douyu.com/3380174,小新螳螂,魔兽争霸,梦幻启示录99真好玩,451
https://www.douyu.com/1581492,剑宝丶,英雄联盟,剑姬剑姬  平顶山剑宝求关注,3158
https://www.douyu.com/1234573,不浪敢上心态棒xc,英雄联盟,斗 鱼最强男刀 把对面中单当野刷,3100
https://www.douyu.com/330435,霹雳宇,英雄联盟,奥拉夫1级单杀任何上单,3062
https://www.douyu.com/1833637,卡号是个说书人,我的世界,好好研究神秘秘术,1197
https://www.douyu.com/1029384,Larry拉里,我的世界,拉里：兩年只為建城市！,587
https://www.douyu.com/535923,纯粹乱跑,我的世界,新服开荒，今天网络有点渣,488
https://www.douyu.com/brothers,宋先生,怀旧游戏,三国战记系列 告别单身手速30年,1万
https://www.douyu.com/dingjijubao,顶级菊宝a,绝地求生,【顶级菊宝】绝地艺术家,1.3万
https://www.douyu.com/1107098,乱玩的老姜,绝地求生,银币战队 幻影坦克军团,1.3万
https://www.douyu.com/2289692,鸣月NATUKI,主机游戏,【鸣月】《仁王》一周目开荒,1010
https://www.douyu.com/66871,韩小齐丶,主机游戏,弹丸论破V3：自相残杀校园生活。,962
https://www.douyu.com/1724907,阿软233,主机游戏,怂得一批刚刀流,929
https://www.douyu.com/782195,澄海3c一只年兽,魔兽争霸,暴打如果仔~~~打哭,388
https://www.douyu.com/war3666,lrichie,魔兽争霸,【war3666】精彩魔兽视频,340
https://www.douyu.com/474319,花天河,魔兽争霸,信长-玩的是情怀,196
https://www.douyu.com/584829,神sun仙,棋牌娱乐,小草莓要洗白了,1760
https://www.douyu.com/1369971,西关龙,英雄联盟,所谓三穿人马的统治力！,3040
https://www.douyu.com/ADC94,主播九四,英雄联盟,宇宙最帅细节性ADC教学解说,2946
https://www.douyu.com/279555,奔跑的雨丶,英雄联盟,我将带头逃跑~~,2934
https://www.douyu.com/3050306,冷如烟c,我的世界,一起撸房子吗~,190
https://www.douyu.com/anniyyy,没关系我喜欢你,我的世界,来人一起玩呀~国服网易原版生存!!,86
https://www.douyu.com/2313968,moonwuyou,我的世界,不想挖矿，做各种科技,73
https://www.douyu.com/ciqing,零刺青,怀旧游戏,欢迎来到看了也学不会系列！,4708
https://www.douyu.com/heroes3,纳尼亚王子英雄无敌,怀旧游戏,1887730 八老板新家,3563
https://www.douyu.com/67205,南极猫的眼泪,怀旧游戏,哇塞，请问主播刚刚这个极限操作怎么做出来,2686
https://www.douyu.com/shuaiqifizz,鱼王帅琪,绝地求生,如何吃鸡over,1.3万
https://www.douyu.com/huabingli,画饼李,绝地求生,老李：让吃鸡变为常态！,1.2万
https://www.douyu.com/zzer,小姿丶,绝地求生,❤声优姿❤bang!在你心上用力的开一枪,1.2万
https://www.douyu.com/2657344,夜礼服S米诺,主机游戏,混沌 PS4战神3 最高难度 超1080,911
https://www.douyu.com/adlace,奏忧的十年,主机游戏,随便玩玩，求推荐游戏,879
https://www.douyu.com/2295733,OlderFan,主机游戏,闪轨3继续填坑,825
https://www.douyu.com/2135766,fastcczccz,魔兽争霸,魔兽攻心术FAST,171
https://www.douyu.com/577483,神手在耒阳,魔兽争霸,真三：企鹅岛一战成名,145
https://www.douyu.com/437349,澄海3c大宝,魔兽争霸,随机1v1：大宝VS日花,109
https://www.douyu.com/3291253,很爱其,魔兽争霸,魔兽RPG，整起来,107
https://www.douyu.com/173452,你调皮的小老婆,棋牌娱乐,刘水水：今天也要元气满满哦~,1021
https://www.douyu.com/2725203,五星弈棋耍大牌,棋牌娱乐,小小陪你智力游戏,74
https://www.douyu.com/1165824,匚匚翻译官,棋牌娱乐,好好打牌~认真分析~理性炸弹~,3943
https://www.douyu.com/3296972,艾克的人生,英雄联盟,艾克我的本命英雄,2864
https://www.douyu.com/maxiaoqi,内涵段子丶朵朵,英雄联盟,最强女猴王，一棍一个小朋友,2858
https://www.douyu.com/1896542,全能王者锄禾,英雄联盟,王者雷霆男枪皇子最强皇子出装钻石局,2834
https://www.douyu.com/tylooxf,赖小峰,CS:GO,【赖小峰】今天开个车~,7418
https://www.douyu.com/2114936,jgk葫芦145,我的世界,播我的世界,69
https://www.douyu.com/3402627,WXQ沉默,我的世界,10月21日主播服务器盛大开服，豪礼多多,68
https://www.douyu.com/2003272,张小八xiaoba,我的世界,单人科技类生存,65
https://www.douyu.com/470321,DNF活动专用,DNF,DNF第五届职业联赛重播,6687
https://www.douyu.com/3513924,代承林0,怀旧游戏,经典游戏，棒棒哒！安卓ios畅玩,2495
https://www.douyu.com/1215512,FC棍神,怀旧游戏,欢迎各位来看怀旧哦,2422
https://www.douyu.com/2296647,逗逗你逗逗渔,怀旧游戏,瞪着我干嘛！我是豆豆！,2340
https://www.douyu.com/525816,羊得草,绝地求生,【羊得草】无小号，不炸鱼，单人四排,1.2万
https://www.douyu.com/1613576,梦想导师锤,绝地求生,50鸡下播没毛病,1.2万
https://www.douyu.com/2138443,果冻cc007,绝地求生,死一次送一包辣条 ❥(^_-),1.1万
https://www.douyu.com/73081,ATTK花开,主机游戏,堡垒之夜谁能帮我守9级家？,796
https://www.douyu.com/baixiaohei,白小黑小黑,主机游戏,"啊,别,这火里有毒!",783
https://www.douyu.com/552086,我丨阿扬,主机游戏,2K18 雷霆三巨头 Day3,760
https://www.douyu.com/413152,婉玲姐姐,魔兽争霸,战就战黄金排位，不开迈克,105
https://www.douyu.com/1656024,奎哥竟然在,魔兽争霸,信长~奎啊奎,100
https://www.douyu.com/726283,a千禧盛世,魔兽争霸,澄海3c  哦 好菜的主播,91
https://www.douyu.com/106917,我爱吃远饭,格斗游戏,又是一周！,1.6万
https://www.douyu.com/300165,Poker丶小旺,棋牌娱乐,,1.4万
https://www.douyu.com/1003123,截牌,棋牌娱乐,,2523
https://www.douyu.com/1073707,牛布,棋牌娱乐,,1298
https://www.douyu.com/liyuechuan,象棋大师李越川,棋牌娱乐,李越川：本月最后一次直播啦~,3569
